target_label,recommendation_entrainement
Faible__Zone_Max__Excellente__long_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Réception saut en longueur : exercices d'équilibre unipodal et de proprioception pour sécuriser l'atterrissage."
Faible__Zone_Max__Excellente__sprint__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Faible__Zone_Max__Insuffisante__high_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre."
Faible__Zone_Max__Insuffisante__long_jump__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Vol saut en longueur : travaillez la technique 'hitch-kick' (3.5 pas en vol) pour maximiser la distance de projection."
Faible__Zone_Max__Insuffisante__sprint__critical,"FC critique (>165 bpm) : réduisez immédiatement la charge. Planifiez une semaine de décharge (-30% volume) et réévaluez le programme. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition)."
Modéré__Zone_Aerobie__Bonne__high_jump__normal,Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Approche saut en hauteur : optimisez le rythme de course d'élan (8–10 foulées) et l'angle d'attaque de la barre.
Modéré__Zone_Aerobie__Bonne__long_jump__normal,Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1). | Réception saut en longueur : exercices d'équilibre unipodal et de proprioception pour sécuriser l'atterrissage.
Modéré__Zone_Aerobie__Bonne__sprint__normal,Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance correcte : augmentez la charge de 5–10%/semaine sur 3 semaines puis 1 semaine de récupération (cycle 3+1).
Modéré__Zone_Aerobie__Excellente__high_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Modéré__Zone_Aerobie__Excellente__long_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement. | Réception saut en longueur : exercices d'équilibre unipodal et de proprioception pour sécuriser l'atterrissage."
Modéré__Zone_Aerobie__Excellente__sprint__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance excellente : introduisez des exercices de variabilité (cross-training, plyométrie) pour éviter la stagnation et le surentraînement."
Modéré__Zone_Aerobie__Insuffisante__high_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Réception saut en hauteur : renforcez les quadriceps et les ischio-jambiers (squats excentriques, nordic curl)."
Modéré__Zone_Aerobie__Insuffisante__long_jump__normal,"Intensité aérobie optimale : maintenez 3–4 séances/semaine à cette zone pour développer l'endurance fondamentale. | Performance insuffisante : réduisez le volume (-20%), concentrez-vous sur la qualité technique et améliorez la récupération (sommeil ≥8h, nutrition). | Course d'élan saut en longueur : régularisez les appuis des 6 dernières foulées avant la planche d'appel."
